REC;age;income;student;credit_rating;Buys_Computer
r1;<=30;high;no;fair;no
r2;<=30;high;no;excellent;no
r3;31…40;high;no;fair;yes
r4;>40;medium;no;fair;yes
r5;>40;low;yes;fair;yes
r6;>40;low;yes;excellent;no
r7;31…40;low;yes;excellent;yes
r8;<=30;medium;no;fair;no
r9;<=30;low;yes;fair;yes
r10;>40;medium;yes;fair;yes
r11;<=30;medium;yes;excellent;yes
r12;31…40;medium;no;excellent;yes
r13;31…40;high;yes;fair;yes
r14;>40;medium;no;excellent;no
r15;<=30;medium;no;excellent;no
r16;<=30;low;no;fair;no
r17;<=30;low;no;excellent;no
r18;31…40;low;yes;fair;yes
r19;>40;medium;yes;excellent;yes
R20;31…40;high;no;excellent;yes